0;1;2;3;4;5;6;7;8;9;10
Reitoria;Resolução;160;2016;05/08/2016;Aprovar o Regimento Interno que disciplina a organização e o funcionamento dos campi que integram o Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo;https://www.ifes.edu.br/images/stories/files/Institucional/conselho_superior/2016/Resolu%C3%A7%C3%B5es_2016/Res_CS_160_2016_-Aprova_o_Regimento_Interno_que_disciplina_funcionamento_dos_Campi.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;;2016;04/11/2016;Aprova o Regimento Interno do Fórum de Comunicação Social do Ifes.;https://www.ifes.edu.br/images/stories/files/Institucional/conselho_superior/2016/Resolu%C3%A7%C3%B5es_2016/Res_CS_189_2016_-_Regimento_Interno_do_Forum_de_Comunica%C3%A7%C3%A3o_Social_do_Ifes.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;204;2016;04/11/2016;Aprova o Regimento Interno do Conselho de Gestão do campus Centro-Serrano;https://www.ifes.edu.br/images/stories/files/Institucional/conselho_superior/2016/Resolu%C3%A7%C3%B5es_2016/Res_CS_204_2016_-_Regimento_do_Conselho_de_Gest%C3%A3o_campus_Centro_Serrano.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;205;2016;09/12/2016;Aprova o Regimento Interno do Centro de Referência em Formação e em Educação a Distância.;https://www.ifes.edu.br/images/stories/files/Institucional/conselho_superior/2016/Resolu%C3%A7%C3%B5es_2016/Res_CS_205_2016_-_Regimento_Interno_do_Cefor.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;1;2017;20/02/2017;Alteração do Regimento Geral do Ifes;https://ifes.edu.br/images/stories/Res_CS_1_2017_-_Regimento_Interno_Ifes.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;"Revogada pela RESOLUÇÃO DO CONSELHO SUPERIOR Nº 20/2019,
DE 4 DE JULHO DE 2019
"
Reitoria;Resolução;14;2017;27/03/2017;Revoga Resolução CS nº 65/2012 que aprovou o Regimento Interno da Pró-Reitoria de Ensino do Ifes.;https://ifes.edu.br/images/stories/-publicacoes/conselhos-comissoes/conselho-superior/2017/Res_CS_14_2017_-_Revoga_Resolu%C3%A7%C3%A3o_CS_65_2012.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;PROEN;
Reitoria;Resolução;17;2017;14/07/2017;Aprova o Regimento Interno da Assessoria de Relações Internacionais – Arinter Ifes.;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2017/Res_CS_17_2017_-_Regimento_Interno_da_Arinter.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;Arinter
Reitoria;Resolução;47;2017;19/12/2017;Estabelecer, de 8 a 31 de janeiro 2018, a redução da jornada de trabalho dos servidores da Reitoria do Ifes, a ser cumprida das 8 às 14 horas;https://ifes.edu.br/images/stories/-publicacoes/conselhos-comissoes/conselho-superior/2017/Res_CS_47_2017_-_Hor%C3%A1rio_Especial_Ifes_-_Revoga_46_2017.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;6;2018;06/04/2018;Aprova o Regimento Interno do Conselho de Gestão do Campus Colatina;https://ifes.edu.br/images/stories/-publicacoes/conselhos-comissoes/conselho-superior/2018/Res_CS_6_2018_-_Aprova_Regimento_Conselho_Gest%C3%A3o_campus_Colatina.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;20;2018;13/07/2018;Homologa o Regulamento da CPA – Comissão Própria de Avaliação;https://ifes.edu.br/images/stories/-publicacoes/conselhos-comissoes/conselho-superior/2018/Res_CS_20_2018_-_Homologa_o_regulmanento_da_Comiss%C3%A3o_Permanente_de_Avalia%C3%A7%C3%A3o_do_Ifes.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
